Trip,Avg_Speed_kmh,Avg_RPM,Avg_Fuel_L/100km,HighRPM_LowSpeed_%,Long_Idle_%,Accel_Events,Brake_Events
2018-02-21_Seat_Leon_KA_BB_Normal.csv,67.09120110129632,1591.4175977974073,0.29691457166671337,0.0,91.96,1263,1250
2018-02-21_Seat_Leon_KA_KA_Normal.csv,29.900435999219106,1292.8938634736774,0.4346358086767312,0.0,82.64,373,391
2018-02-22_Seat_Leon_RT_S_Normal.csv,64.70948518457209,1544.5920101528445,0.25975923060599576,0.0,90.27,942,983
2018-02-23_Seat_Leon_RT_RT_Frei_Beschleunigung.csv,57.86844951332219,1500.5008357093698,0.28091731116218455,0.0,95.76,274,309
2018-02-23_Seat_Leon_RT_S_Normal.csv,73.57086971489375,1592.5054298500922,0.2550968137630377,0.0,92.32,800,838
2018-02-23_Seat_Leon_S_RT_Normal.csv,65.57624460995687,1547.6933065464523,0.19147119393252227,0.0,98.69,655,610
2018-02-23_Seat_Leon_S_S_Stau.csv,30.27713625866051,1213.5915793213715,0.5450485760020165,0.0,85.98,538,597
2018-02-26_Seat_Leon_KA_KA_Frei.csv,32.68974943052392,1358.9005011389522,0.4746125378240166,0.0,77.88,308,322
2018-02-26_Seat_Leon_RT_KA_Normal.csv,70.67870188998889,1572.765489614767,0.2469029559534529,0.0,93.48,1437,1456
2018-02-26_Seat_Leon_RT_RT_Frei.csv,51.92818110850898,1452.7150663544105,0.37997449661488336,0.0,80.41,311,310
2018-02-27_Seat_Leon_KA_KA_Normal.csv,26.611494252873563,1308.3858620689655,0.48095344156102,0.0,80.52,429,444
2018-02-27_Seat_Leon_KA_RT_Normal.csv,83.9495141529362,1736.7072032108154,0.2645156644349228,0.0,95.75,1253,1219
2018-02-28_Seat_Leon_RT_S_Normal.csv,58.76003210272873,1472.7770197966827,0.29112427065165686,0.01,89.51,929,933
2018-02-28_Seat_Leon_S_RT_Normal.csv,68.22865454545455,1541.8741527272728,0.2853851192520775,0.0,93.15,816,785
2018-03-01_Seat_Leon_RT_S_Normal.csv,73.59435373301757,1580.5157048485603,0.24504206661950945,0.0,90.65,841,831
2018-03-01_Seat_Leon_S_RT_Normal.csv,44.45973822085106,1308.4129867284908,0.3378750275248044,0.0,88.12,1049,1048
2018-03-02_Seat_Leon_RT_S_Normal.csv,68.05963686747684,1564.6404179776578,0.24815794322323784,0.0,92.39,791,801
2018-03-06_Seat_Leon_KA_RT_Normal.csv,86.39085157727678,1734.0972237319825,0.2273345009956654,0.0,93.05,1225,1125
2018-03-07_Seat_Leon_RT_S_Normal.csv,64.48660386771137,1543.444199900226,0.2635948557615591,0.0,90.53,831,810
2018-03-07_Seat_Leon_S_RT_Normal.csv,65.22921769197522,1486.0005762858377,0.26858880201391044,0.0,90.75,811,779
2018-03-08_Seat_Leon_RT_S_Normal.csv,56.12999838109114,1451.161863903729,0.28252815470378273,0.01,87.93,938,1014
2018-03-19_Seat_Leon_KA_KA_Frei.csv,27.538488763050786,1318.803132188993,0.46941335560110825,0.0,76.8,324,329
2018-03-19_Seat_Leon_RT_KA_Normal.csv,63.83382730405434,1525.287944750911,0.2866111395427485,0.0,86.56,1788,1873
2018-03-20_Seat_Leon_KA_KA_Normal.csv,24.23865722528193,1178.6279569892474,0.515559537406057,0.0,80.03,450,429
2018-03-21_Seat_Leon_KA_RT_Normal.csv,81.30001357615252,1659.443843214833,0.22308111133936154,0.0,94.19,1290,1204
2018-03-22_Seat_Leon_RT_S_Normal.csv,60.89732178978882,1465.9735954904659,0.268727192098644,0.0,92.27,892,942
2018-03-22_Seat_Leon_S_RT_Normal.csv,65.60745629941249,1561.7810618698775,0.28064665464758,0.0,91.39,810,838
2018-03-23_Seat_Leon_RT_S_Normal.csv,62.50406114351149,1508.2868631993822,0.27718263591764686,0.0,87.05,1019,1054
2018-03-23_Seat_Leon_S_RT_Stau.csv,52.08367961770206,1432.980547475587,0.296372024466066,0.0,87.55,1104,1086
2018-03-26_Seat_Leon_RT_S_Normal.csv,69.81554323857202,1515.9305083735621,0.2622312418118959,0.0,91.25,831,857
2018-03-26_Seat_Leon_S_RT_Stau.csv,57.62040502435273,1395.7036144578312,0.24071335277335362,0.0,92.75,455,491
2018-03-29_Seat_Leon_KA_RT_Stau.csv,51.93112442151669,1334.2141744278642,0.30383665764434314,0.0,88.16,2237,2295
2018-04-23_Seat_Leon_KA_KA_Frei.csv,32.009075907590756,1259.7891914191418,0.37256546790353656,0.0,78.9,273,311
2018-04-23_Seat_Leon_RT_KA_Normal.csv,57.17832012346648,1428.8261136833294,0.29698865338498515,0.0,87.75,1842,1941
